iteration,total_runs,mean,standard_deviation,min,max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,base
0,100,131.536,145.478,4.58892,433.993,428.231,12.1512,11.9522,433.785,32.5268,26.8069,158.428,149.428,16.8339,342.389,12.7973,153.781,9.69293,221.043,6.15971,219.025,308.913,224.154,17.6415,16.1668,4.97664,8.01274,67.1016,296.307,265.629,366.254,316.538,318.245,371.458,5.02233,341.654,5.2459,51.4395,29.9243,5.76893,5.10937,8.78518,364.804,5.68846,148.82,235.275,52.7911,231.212,110.519,6.77696,7.86863,16.6107,14.5979,354.284,344.556,7.29134,9.72181,7.32042,5.8775,223.681,13.4317,272.04,422.379,366.659,289.781,192.511,249.286,12.6087,362.679,6.43123,215.255,18.2363,11.1061,44.854,423.467,366.329,183.2,20.4616,15.3804,84.4815,83.9813,77.7952,243.659,23.6485,36.1773,15.2365,18.3348,8.08609,64.3331,5.29936,400.622,433.993,345.229,24.8534,12.5355,5.28089,4.58892,4.64559,12.3831,155.653,6.64449,28.7864,64.1373,72.9184,17.1042
1,240,6.34015,2.60341,4.47157,19.1316,6.06936,4.5846,4.56306,5.79448,5.25605,4.54834,13.852,4.54858,4.72692,6.08346,4.58237,5.9968,7.62767,6.52889,4.94426,7.74822,6.9647,6.0106,15.6096,14.2577,4.73574,4.69123,5.19503,6.09457,5.03548,6.54613,6.89155,6.64341,6.27768,4.52448,6.71733,4.96102,5.51926,5.27766,4.93631,4.70622,4.56076,6.43926,5.35052,5.3618,6.57177,5.64041,5.8717,4.56136,6.67453,4.53201,12.9217,5.55896,6.70743,6.06776,4.47157,6.22175,4.54736,4.62116,6.89302,9.70219,8.05507,6.09369,6.33651,7.23364,8.15556,7.40807,4.59456,6.01453,6.28332,6.70474,5.83938,8.89575,5.29305,6.09364,6.30094,4.65629,19.1316,12.8442,4.53081,4.58972,4.69422,6.93806,4.61929,4.73518,4.62027,4.88297,7.94054,5.8607,4.48048,6.25021,5.66047,6.16877,4.57089,4.75563,5.56641,4.49385,4.6153,6.47578,14.3281,5.43088,4.97881,4.50788,4.58572,5.47133
2,380,5.16843,1.73292,4.42368,15.9492,4.65251,4.75336,4.78846,4.81507,4.69112,4.69038,11.9261,4.75369,4.64634,4.63815,4.75942,4.48356,5.9083,5.04353,4.48331,4.59454,4.50153,4.74842,8.8201,10.6442,4.65359,4.73256,4.73192,4.46393,4.66127,4.52387,4.52216,4.62228,4.52387,4.73778,4.50261,4.65277,4.67348,4.77438,4.77726,4.63511,4.87706,4.4977,4.78111,4.53523,4.66314,4.72244,4.70742,4.726,6.47211,4.70951,8.06129,4.78408,4.50648,4.57736,4.68577,4.62488,4.63698,4.76884,4.50164,4.5538,4.58017,4.87436,4.48102,4.52951,4.71424,4.52629,4.65125,4.68569,5.68493,4.51293,4.47503,5.59624,4.82537,4.80438,4.49679,4.68028,15.9492,8.34755,4.63766,4.7454,4.68813,4.42368,4.8822,4.70195,4.73004,4.76566,7.57518,4.59677,4.58176,4.6469,4.90481,4.50922,4.71399,4.65823,5.72178,4.58996,4.60396,4.60957,11.5124,4.49322,4.63642,4.4927,4.5674,4.51528
3,519,4.92007,0.874566,4.45504,9.02486,4.60907,4.69105,4.69858,4.66938,4.7142,4.62682,8.81008,4.74691,4.64589,4.705,4.68944,4.71618,4.92561,5.05028,4.50817,4.59684,4.73817,4.60075,4.91413,8.60769,4.60851,4.70744,4.76762,4.58793,4.65178,4.63489,4.73131,4.67167,4.67159,4.71029,4.686,4.49627,4.7205,4.64698,4.67463,4.59949,4.66691,4.59943,4.49766,4.47893,4.52723,4.74637,4.51882,4.74906,6.14997,4.64717,4.50272,4.7851,4.66603,4.69044,4.60504,4.66957,4.62244,4.74228,4.7465,4.88897,5.07208,,4.61279,4.77158,4.66721,4.80305,4.63482,4.7281,5.07026,4.49867,4.57142,5.83184,4.76994,4.62911,4.63624,4.69404,8.42488,6.84229,4.69475,4.784,4.64858,4.76205,4.74145,4.66541,4.70293,4.65962,6.7672,4.58064,4.69265,4.63103,4.7038,4.60831,4.64667,4.69472,5.92546,4.56566,4.60647,4.61415,9.02486,4.54868,4.70453,4.45504,4.56289,4.50508
4,658,4.76773,0.476999,4.44246,7.97512,4.60909,4.69619,4.70713,4.67419,4.71512,4.62495,4.60971,4.73972,4.64507,4.73142,4.6935,4.72682,4.59277,5.09037,4.54053,4.70031,4.70966,4.52387,4.46052,7.14412,4.58985,4.6975,4.7681,4.68654,4.62722,4.64301,4.73388,4.66059,4.6913,4.74046,4.69047,4.46898,4.71809,4.58029,4.63016,4.61271,4.75203,4.62674,4.53685,4.46184,4.53031,4.74885,4.44246,4.74874,6.09202,4.66718,4.94277,4.78104,4.68447,4.74544,4.63837,4.6535,4.62991,4.75933,4.7481,4.70199,4.68127,,4.64305,4.65797,4.63748,4.75662,4.64424,4.7479,4.97839,4.49124,4.58061,5.84616,4.7637,4.6354,4.66265,4.69923,4.66671,5.02874,4.69319,4.7845,4.61921,4.68366,4.752,4.66294,4.70273,4.63754,5.91611,4.54232,4.6951,4.62609,4.71164,4.64962,4.64588,4.68925,5.02146,4.52215,4.63864,4.58557,7.97512,4.53759,4.69855,4.44783,4.58226,4.49708
5,797,4.75478,0.468919,4.46282,8.39172,4.60874,4.69563,4.70664,4.67513,4.71374,4.61831,4.70591,4.7342,4.64332,4.7365,4.69106,4.72681,4.52057,5.40972,4.55409,4.71385,4.71021,4.49403,4.52375,5.77786,4.57589,4.69166,4.76652,4.70528,4.5969,4.64095,4.73351,4.65651,4.69205,4.73472,4.68779,4.46423,4.71553,4.53959,4.61225,4.66259,4.73825,4.63173,4.56428,4.49802,4.55664,4.74938,4.46646,4.74489,6.45627,4.66664,4.75914,4.77739,4.68437,4.75778,4.63376,4.62389,4.63015,4.75415,4.75028,4.72351,4.80853,,4.64774,4.68059,4.66632,4.75867,4.64501,4.75416,5.19848,4.48617,4.58235,6.06725,4.75712,4.6357,4.66577,4.69906,4.62308,4.47344,4.68586,4.78171,4.59271,4.6852,4.74531,4.66082,4.69865,4.69299,5.35366,4.49871,4.68965,4.62138,4.71292,4.65703,4.63879,4.69106,4.54803,4.48621,4.78586,4.54831,8.39172,4.51418,4.69766,4.46282,4.638,4.49138
6,936,4.7782,0.549905,4.44907,9.02116,4.60909,4.6978,4.70995,4.6769,4.71134,4.61256,4.72983,4.72778,4.64174,4.73659,4.69105,4.72373,4.48181,6.08698,4.56433,4.71732,4.70954,4.47023,4.59862,4.50704,4.56903,4.68821,4.76435,4.70845,4.5534,4.63725,4.73272,4.65207,4.68992,4.74607,4.68405,4.46208,4.71125,4.5245,4.67006,4.85973,4.73942,4.63342,4.58664,4.63627,4.58803,4.74891,4.53557,4.73848,6.59745,4.67122,4.78135,4.77068,4.68169,4.76047,4.6386,4.58436,4.63188,4.75458,4.75302,4.7321,4.76704,,4.64838,4.67511,4.76573,4.75585,4.64462,4.75698,5.67833,4.58447,4.58328,6.64052,4.74914,4.63693,4.66511,4.69558,4.64098,4.64022,4.67559,4.77496,4.56111,4.68248,4.73946,4.66718,4.69875,4.95929,4.67174,4.44907,4.68148,4.6168,4.71439,4.65671,4.63293,4.6899,4.64866,4.48705,5.32909,4.5092,9.02116,4.47644,4.69706,4.54326,4.82304,4.48546
7,1075,4.81329,0.559707,4.41861,8.53599,4.61046,4.71256,4.73017,4.67999,4.70977,4.61458,4.71481,4.72323,4.64464,4.73442,4.70421,4.71963,4.52187,6.19161,4.5797,4.71823,4.70954,4.43806,4.63648,4.79278,4.5688,4.69852,4.76287,4.70494,4.51901,4.63784,4.73328,4.64867,4.69341,4.7528,4.68449,4.45769,4.70603,4.55436,4.8443,5.35499,4.74501,4.64006,4.62806,4.79566,4.64139,4.74692,4.61065,4.73293,4.94508,4.68326,4.76699,4.76457,4.68558,4.75819,4.64614,4.55148,4.63646,4.75564,4.75496,4.73966,4.79291,,4.65402,4.6746,4.8819,4.75393,4.64251,4.75743,5.64211,4.96203,4.58443,7.66357,4.74141,4.64,4.66954,4.69108,4.63385,4.71559,4.66584,4.76737,4.53746,4.67819,4.74425,4.67868,4.70956,5.4487,4.78836,4.41861,4.67497,4.61469,4.71674,4.65276,4.63538,4.68737,4.75769,4.66884,6.47265,4.50038,8.53599,4.43495,4.69594,4.74464,5.26686,4.4803
8,1214,4.83465,0.632572,4.40521,9.29147,4.61296,4.73072,4.75432,4.68461,4.70949,4.62423,4.72111,4.72043,4.64996,4.73331,4.72193,4.71694,4.61083,4.79028,4.60111,4.7195,4.71104,4.43951,4.65574,4.6761,4.57084,4.71866,4.76235,4.70263,4.54954,4.64257,4.73521,4.64731,4.70225,4.7659,4.68783,4.47081,4.70042,4.56857,4.96624,6.43986,4.7526,4.6512,4.68108,4.67009,4.70701,4.74455,4.66614,4.72824,5.06724,4.69533,4.77192,4.75987,4.69451,4.75667,4.65499,4.53376,4.64174,4.75887,4.7567,4.74948,4.7784,,4.66407,4.67441,4.90059,4.75362,4.64461,4.75794,4.65913,5.7933,4.58636,9.29147,4.73463,4.64505,4.67838,4.68758,4.64767,4.71549,4.65969,4.76116,4.52784,4.67653,4.75812,4.68876,4.72511,5.70379,4.79304,4.4232,4.67052,4.61541,4.72042,4.64942,4.64517,4.68722,4.73929,5.22172,7.97008,4.5488,5.24943,4.40521,4.69524,5.11212,6.23777,4.47592
9,1353,4.87213,0.812716,4.40444,10.3335,4.61505,4.74012,4.76659,4.68819,4.71027,4.63463,4.71878,4.71936,4.65211,4.73357,4.73151,4.71584,4.66097,4.52149,4.61601,4.72055,4.71276,4.48459,4.66576,4.71128,4.57601,4.7313,4.76301,4.70197,4.65948,4.64669,4.7371,4.64723,4.70905,4.7723,4.69029,4.50952,4.69739,4.51827,4.82389,7.50945,4.75967,4.65863,4.70442,4.45186,4.73558,4.743,4.69074,4.72599,4.79493,4.70316,4.76964,4.75772,4.70033,4.75659,4.66246,4.53025,4.64577,4.7616,4.75697,4.75036,4.79079,,4.67074,4.67537,4.72775,4.75415,4.64716,4.75881,4.63243,6.62221,4.58833,10.3335,4.73147,4.64922,4.68427,4.68595,4.64559,4.71969,4.65667,4.7578,4.53514,4.67573,4.77074,4.69539,4.73415,5.23168,4.80795,4.43879,4.66856,4.61768,4.7234,4.64798,4.65475,4.68772,4.73676,5.87448,8.55106,4.59924,4.51617,4.40444,4.69492,5.29598,7.30113,4.47334
