iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,base
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,240,0.357396,0.39615,0.00178082,1.18103,1.18103,0.0332591,0.0340454,1.17527,0.0896421,0.103628,0.505715,0.383351,0.0462846,0.921199,0.0366983,0.421721,0.0469567,0.625634,0.0154971,0.613894,0.833582,0.637527,0.0628665,0.0578772,0.00952239,0.0155184,0.186247,0.801633,0.726015,0.993001,0.85358,0.8573,0.996239,0.00295333,0.919311,0.00574992,0.1182,0.0662101,0.00517,0.00555452,0.0206802,0.982456,0.00786589,0.412167,0.654802,0.122052,0.649212,0.273352,0.0125205,0.0152545,0.0684992,0.0226983,0.951402,0.925995,0.0138233,0.00914377,0.0103325,0.00356478,0.630141,0.0436376,0.732956,1.14496,0.985146,0.782487,0.560719,0.687487,0.0343917,0.973245,0.0108238,0.617633,0.0445601,0.0396493,0.0966576,1.14382,0.984793,0.481929,0.0766508,0.0552663,0.207898,0.203924,0.192999,0.672889,0.0822646,0.0909997,0.0440668,0.0469979,0.0175059,0.151029,0.0107943,1.08254,1.17131,0.93312,0.0835425,0.029495,0.0310831,0.00178082,0.00524252,0.0153302,0.499345,0.00339656,0.0876396,0.168002,0.198386,0.0374031
2,380,0.366297,0.328224,0.00221318,0.985996,0.985565,0.0227088,0.0209715,0.980865,0.119993,0.0881019,0.748806,0.361215,0.0488244,0.785655,0.0250039,0.413694,0.288608,0.607809,0.0751665,0.609863,0.719771,0.599957,0.602948,0.503695,0.0180421,0.0138971,0.216814,0.699826,0.655205,0.83131,0.730507,0.733749,0.828622,0.00383844,0.783863,0.0461092,0.157364,0.0826238,0.00955733,0.0149221,0.0122305,0.819084,0.0666755,0.407881,0.621619,0.165149,0.600415,0.263948,0.108955,0.00898346,0.54635,0.044588,0.795192,0.787661,0.00809316,0.0364986,0.00760873,0.00221318,0.622932,0.340529,0.653094,0.940843,0.820371,0.684318,0.569153,0.648586,0.0323453,0.817734,0.0991999,0.611225,0.0943588,0.264623,0.11937,0.936347,0.825953,0.435303,0.759942,0.362384,0.202323,0.201703,0.198373,0.629193,0.0649217,0.104975,0.0360441,0.0665247,0.170854,0.197337,0.0336267,0.8936,0.985996,0.800341,0.0723013,0.0336275,0.143235,0.00383426,0.0202252,0.0523336,0.744229,0.0167576,0.104789,0.174972,0.206695,0.093638
3,519,0.428155,0.397184,0.00333803,1.84961,0.969704,0.0250006,0.0245398,0.969193,0.117003,0.0918605,1.45745,0.365226,0.047489,0.772278,0.0274934,0.439914,0.5844,0.697608,0.110197,0.674591,0.720287,0.640478,1.18603,1.17567,0.0318223,0.015684,0.212332,0.691713,0.642713,0.81453,0.72765,0.718595,0.808443,0.00722558,0.778264,0.108427,0.159006,0.094391,0.0196001,0.0354044,0.0190108,0.799864,0.14828,0.46099,0.674675,0.165381,0.627117,0.270916,0.326873,0.0119282,1.10597,0.0458827,0.781645,0.77218,0.0117085,0.0311645,0.00833255,0.00333803,0.639733,0.385132,0.684724,,0.800801,0.70201,0.609993,0.684312,0.0344276,0.79986,0.26003,0.650129,0.0824947,0.410149,0.126445,0.918943,0.809971,0.435532,1.84961,0.689104,0.210306,0.210312,0.206512,0.651719,0.0708325,0.124772,0.0366885,0.0979047,0.488563,0.201222,0.0418953,0.873771,0.980103,0.789907,0.0740713,0.0336326,0.353247,0.00744994,0.0534665,0.0463013,1.39605,0.0129572,0.100667,0.196436,0.231766,0.0958893
4,658,0.46809,0.462961,0.00472893,2.43357,0.952532,0.0271513,0.027814,0.952665,0.116805,0.0918694,1.92653,0.368597,0.0472292,0.760516,0.029533,0.4384,0.740419,0.750317,0.12557,0.67072,0.707451,0.665358,1.37002,1.69702,0.0434384,0.0185545,0.212218,0.679008,0.629115,0.799415,0.71427,0.705721,0.790056,0.0115883,0.767666,0.152285,0.164203,0.104658,0.0339748,0.0684033,0.022536,0.780141,0.18499,0.48896,0.687049,0.168008,0.637426,0.27774,0.554326,0.0150256,1.20146,0.0474444,0.765684,0.75831,0.0144461,0.032903,0.00925907,0.00472893,0.634942,0.383039,0.665581,,0.781453,0.687483,0.632043,0.676212,0.0362973,0.784066,0.389994,0.66173,0.0816093,0.589747,0.131665,0.897218,0.793797,0.435817,2.43357,1.01655,0.217921,0.217914,0.212425,0.640081,0.0709205,0.139595,0.0381,0.130045,0.786721,0.206627,0.0429186,0.85553,0.967374,0.780076,0.0729782,0.0354092,0.558544,0.0134024,0.0948618,0.0471916,1.80576,0.0128039,0.101848,0.2149,0.254848,0.0977438
5,797,0.490535,0.490901,0.0063023,2.43559,0.939826,0.0305274,0.0324415,0.940683,0.117215,0.093253,2.04253,0.371314,0.0477391,0.752392,0.032886,0.437304,0.826446,0.812189,0.13282,0.664308,0.697528,0.697114,1.41242,2.04649,0.053018,0.0222095,0.212713,0.670905,0.619422,0.788598,0.704385,0.69583,0.777069,0.0157423,0.759824,0.17926,0.168473,0.115349,0.0524931,0.11219,0.0278617,0.766111,0.20208,0.514221,0.693055,0.170474,0.649087,0.283168,0.762824,0.0187026,1.19072,0.0487755,0.754253,0.749507,0.0179058,0.0367844,0.0104648,0.0063023,0.631411,0.391948,0.653022,,0.767912,0.676399,0.662999,0.670826,0.0385535,0.773006,0.499013,0.671578,0.0815628,0.757197,0.135826,0.881545,0.782481,0.43618,2.43559,1.20642,0.223651,0.223616,0.217785,0.632168,0.072992,0.151055,0.0404299,0.166873,1.01086,0.212636,0.0436913,0.841772,0.958332,0.773907,0.0729703,0.0369387,0.680496,0.020473,0.142788,0.0511001,2.11966,0.0132902,0.102852,0.236576,0.285574,0.0998626
6,936,0.521005,0.531878,0.00852093,2.64701,0.926319,0.0359179,0.0396077,0.927977,0.118193,0.0958847,2.04338,0.374656,0.0489617,0.74378,0.0383403,0.436308,0.922098,0.957128,0.140122,0.657411,0.686897,0.748609,1.4352,2.41502,0.0654223,0.0279969,0.213771,0.662482,0.610217,0.777208,0.693944,0.685143,0.763386,0.0212965,0.751533,0.211975,0.173307,0.133604,0.0903693,0.181997,0.0350625,0.751244,0.220591,0.559834,0.701483,0.173528,0.660141,0.289385,1.12225,0.0238733,1.19708,0.0504883,0.742219,0.740466,0.0225812,0.0448668,0.0122223,0.00852093,0.627744,0.402324,0.640352,,0.753614,0.664869,0.724869,0.665257,0.0416789,0.761462,0.686404,0.692383,0.081807,1.00506,0.140429,0.864797,0.770561,0.436759,2.44676,1.32201,0.229959,0.229901,0.2254,0.623917,0.0766814,0.164413,0.0441815,0.239667,1.2825,0.221921,0.044486,0.826816,0.948851,0.767614,0.0734122,0.0390331,0.774031,0.0334087,0.242081,0.0609604,2.64701,0.0147489,0.104272,0.275152,0.345713,0.102909
7,1075,0.561882,0.592338,0.0110308,3.48243,0.914429,0.042128,0.0477554,0.916653,0.119565,0.0989236,2.04133,0.378122,0.0505615,0.735988,0.0446996,0.435454,1.00737,1.26485,0.147544,0.651711,0.677412,0.82339,1.44777,2.58639,0.0788107,0.0347613,0.215193,0.655018,0.607383,0.767538,0.68487,0.675438,0.751713,0.0273784,0.744526,0.25139,0.177807,0.167214,0.164905,0.29923,0.0430939,0.738533,0.238492,0.650222,0.712986,0.176583,0.668578,0.295286,1.62772,0.0295663,1.20156,0.0523608,0.732069,0.732492,0.0277426,0.0587249,0.0141928,0.0110308,0.624424,0.413495,0.629015,,0.741373,0.654576,0.846578,0.660572,0.0451767,0.75136,0.9889,0.746012,0.0822158,1.3893,0.144625,0.849922,0.760445,0.43731,2.45517,1.34755,0.235707,0.235601,0.236147,0.616443,0.0810557,0.177506,0.0485249,0.386264,1.46754,0.236935,0.0450529,0.81341,0.940484,0.762083,0.0739835,0.0414428,0.803373,0.0579969,0.447888,0.0810618,3.48243,0.0179,0.105983,0.347818,0.462941,0.106268
8,1214,0.612417,0.672775,0.0137624,4.48675,0.903853,0.0487489,0.0563925,0.906407,0.121245,0.102149,2.04193,0.381713,0.0523933,0.728754,0.0515373,0.434697,1.0629,1.70425,0.154434,0.647096,0.668891,0.906153,1.45704,2.58103,0.0915162,0.0418058,0.216906,0.648282,0.61903,0.759655,0.677002,0.666494,0.742105,0.0338562,0.738786,0.292809,0.1819,0.227374,0.289966,0.517326,0.0517961,0.727903,0.253423,0.804107,0.722536,0.179596,0.67238,0.300914,1.96723,0.0357263,1.20749,0.0544173,0.723848,0.725236,0.0332792,0.0795247,0.0163021,0.0137624,0.621184,0.425415,0.618929,,0.731164,0.645346,1.03611,0.656676,0.0489221,0.742345,1.34309,0.876289,0.0827261,1.99882,0.148423,0.836604,0.752135,0.437778,2.46557,1.35871,0.240918,0.240803,0.250656,0.609461,0.0858591,0.189315,0.0531446,0.638746,1.49806,0.263948,0.045668,0.801485,0.93293,0.757073,0.0746295,0.0441773,0.813469,0.112511,0.821369,0.116345,4.48675,0.024533,0.107938,0.483021,0.674587,0.109723
9,1353,0.649104,0.720905,0.0157451,4.88452,0.897383,0.0536039,0.0627191,0.900062,0.122535,0.104483,2.04208,0.38402,0.0537472,0.724197,0.0566344,0.434305,1.08228,1.89976,0.158307,0.644483,0.663609,0.949343,1.4629,2.59761,0.0990291,0.0468853,0.218192,0.64418,0.6414,0.754987,0.672262,0.660909,0.73638,0.0385748,0.735351,0.31761,0.18446,0.284594,0.403229,0.789095,0.0581251,0.721338,0.261566,0.9232,0.725025,0.181624,0.671748,0.304488,1.94847,0.0403096,1.21148,0.0559147,0.718983,0.720756,0.0372504,0.0984984,0.0178052,0.0157451,0.619104,0.433091,0.612951,,0.724913,0.639675,1.18839,0.654424,0.0516378,0.736801,1.4895,1.05233,0.0831241,2.65307,0.150757,0.828409,0.747053,0.438102,2.4721,1.36385,0.244145,0.244066,0.260916,0.605154,0.0895569,0.196005,0.0565222,0.864912,1.51918,0.292833,0.0461045,0.794053,0.928218,0.753996,0.0751663,0.046256,0.820684,0.198276,1.21519,0.152941,4.88452,0.033565,0.109384,0.633386,0.911384,0.112005
